epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,5483.35,0.57733,0.29231,1.05778,0.75353,0.74709,0.76623,0.65988,0.69246,0.31681,1.0806,0.006139,0.006139,0.006139
80,5554.19,0.57672,0.28663,1.05458,0.78584,0.76941,0.78057,0.67791,0.65967,0.3052,1.07998,0.0060895,0.0060895,0.0060895
81,5625.2,0.57377,0.28617,1.04991,0.72332,0.74514,0.75245,0.65354,0.65145,0.31071,1.07231,0.00604,0.00604,0.00604
82,5696.19,0.56695,0.28245,1.04554,0.96026,0.76015,0.76846,0.66581,0.65996,0.30882,1.08475,0.0059905,0.0059905,0.0059905
83,5767.18,0.56081,0.27897,1.04296,0.93759,0.73988,0.75591,0.65967,0.63596,0.29985,1.05521,0.005941,0.005941,0.005941
84,5838.11,0.56596,0.28045,1.04321,0.80196,0.80582,0.77888,0.66858,0.66926,0.31215,1.09585,0.0058915,0.0058915,0.0058915
85,5908.93,0.56747,0.28092,1.04254,0.96316,0.73941,0.76285,0.66443,0.67541,0.30748,1.08083,0.005842,0.005842,0.005842
86,5979.48,0.56267,0.28072,1.0417,0.87762,0.81703,0.83225,0.70212,0.70008,0.31291,1.10653,0.0057925,0.0057925,0.0057925
87,6050.46,0.5598,0.27789,1.04274,0.82216,0.82673,0.83212,0.70336,0.66549,0.30468,1.0573,0.005743,0.005743,0.005743
88,6121.43,0.55142,0.27644,1.04003,0.7823,0.74232,0.76235,0.66199,0.65714,0.30018,1.07864,0.0056935,0.0056935,0.0056935
89,6192.2,0.55177,0.27247,1.03559,0.81264,0.76982,0.79076,0.68445,0.63948,0.29902,1.0688,0.005644,0.005644,0.005644
90,6263.04,0.55291,0.27621,1.03139,0.91447,0.74884,0.80419,0.69807,0.63331,0.29614,1.0602,0.0055945,0.0055945,0.0055945
91,6333.91,0.55087,0.27304,1.03675,0.83642,0.81547,0.81743,0.70432,0.65699,0.29681,1.07777,0.005545,0.005545,0.005545
92,6404.86,0.54845,0.27037,1.0273,0.72471,0.747,0.77025,0.66472,0.6479,0.30138,1.06133,0.0054955,0.0054955,0.0054955
93,6475.71,0.54769,0.27028,1.03937,0.75595,0.79368,0.79793,0.66816,0.68413,0.30703,1.0754,0.005446,0.005446,0.005446
94,6546.53,0.55289,0.27147,1.03647,0.9427,0.79248,0.84432,0.70422,0.63757,0.29316,1.05325,0.0053965,0.0053965,0.0053965
95,6617.67,0.53749,0.27155,1.02688,0.86658,0.7714,0.8144,0.68948,0.65446,0.30617,1.07662,0.005347,0.005347,0.005347
96,6688.58,0.54614,0.27119,1.03711,0.90219,0.81271,0.82913,0.69189,0.64874,0.29564,1.06105,0.0052975,0.0052975,0.0052975
97,6759.15,0.53636,0.26311,1.02702,0.95366,0.74582,0.81417,0.68535,0.65273,0.29833,1.08264,0.005248,0.005248,0.005248
98,6829.97,0.54076,0.2658,1.02227,0.74992,0.7676,0.75002,0.65536,0.64795,0.298,1.06485,0.0051985,0.0051985,0.0051985
99,6900.74,0.53341,0.26419,1.0264,0.9073,0.74668,0.77232,0.6681,0.61335,0.29172,1.05734,0.005149,0.005149,0.005149
100,6971.59,0.52669,0.25546,1.0253,0.88189,0.7829,0.80763,0.68883,0.64033,0.29127,1.07745,0.0050995,0.0050995,0.0050995
101,7042.43,0.52883,0.25757,1.01119,0.82443,0.76848,0.78792,0.68003,0.6546,0.29573,1.07692,0.00505,0.00505,0.00505
102,7113.35,0.52711,0.25892,1.01511,0.84799,0.76881,0.77671,0.68221,0.62036,0.2833,1.04688,0.0050005,0.0050005,0.0050005
103,7184.16,0.52432,0.25931,1.0154,0.83732,0.7678,0.79336,0.69448,0.65312,0.29817,1.08754,0.004951,0.004951,0.004951
104,7254.96,0.52679,0.26038,1.01532,0.88289,0.76676,0.78023,0.68025,0.62988,0.29249,1.04591,0.0049015,0.0049015,0.0049015
105,7325.74,0.51695,0.25458,1.00857,0.80274,0.77023,0.76966,0.67373,0.61886,0.2829,1.05765,0.004852,0.004852,0.004852
106,7396.51,0.52074,0.25404,1.012,0.96977,0.75659,0.78197,0.68804,0.61499,0.29273,1.07496,0.0048025,0.0048025,0.0048025
107,7467.11,0.5186,0.25668,1.00249,0.97496,0.73705,0.82321,0.70775,0.61178,0.28884,1.04042,0.004753,0.004753,0.004753
108,7537.93,0.50433,0.25238,1.00779,0.92973,0.7838,0.81877,0.70504,0.62595,0.29844,1.06335,0.0047035,0.0047035,0.0047035
109,7608.68,0.50861,0.2567,1.00155,0.94718,0.78725,0.8127,0.70758,0.58772,0.28158,1.03464,0.004654,0.004654,0.004654
110,7679.55,0.50054,0.24736,0.99903,0.89507,0.76913,0.80212,0.70416,0.58484,0.27574,1.04345,0.0046045,0.0046045,0.0046045
